hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,PX-H653804068,CDM,1.5 Tib Tray,both,,,,max,2530.164,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1776,HCPCS,1.5 Tib Tray,both,,,,gross,2581.8,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1776,HCPCS,1.5 Tib Tray,both,,,,discounted_cash,2530.164,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1776,HCPCS,1.5 Tib Tray,both,,,,min,2383.0014,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,C1776,HCPCS,1.5 Tib Tray,both,,,,max,2530.164,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,278,RC,1.5 Tib Tray,both,,,,gross,2581.8,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,278,RC,1.5 Tib Tray,both,,,,discounted_cash,2530.164,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,278,RC,1.5 Tib Tray,both,,,,min,2383.0014,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,278,RC,1.5 Tib Tray,both,,,,max,2530.164,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200868,CDM,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,gross,39.52,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200868,CDM,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,discounted_cash,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200868,CDM,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,min,36.47696,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653200868,CDM,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,max,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653200868,LOCAL,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,gross,39.52,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653200868,LOCAL,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,discounted_cash,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653200868,LOCAL,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,min,36.47696,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653200868,LOCAL,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,max,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,gross,39.52,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,discounted_cash,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,min,36.47696,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6mm KIRSCHNER WIRE W/5mmTHRD,both,,,,max,38.7296,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203227,CDM,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,gross,276.26,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203227,CDM,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,discounted_cash,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203227,CDM,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,min,254.98798,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653203227,CDM,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,max,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203227,LOCAL,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,gross,276.26,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203227,LOCAL,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,discounted_cash,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203227,LOCAL,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,min,254.98798,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653203227,LOCAL,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,max,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
